"","Age","AlphaForm","BetaSimForm","BetaWForm","BetaSForm","BetaJForm","GammaForm","CollpF","Duration","RefForm","formation.name","Environments","unkown","marginal","shallow subtidal","reefal","deep subtidal","Plate","Echinodermata","Brachiopoda","Mollusca"
"1",57.25,7.295,0.843454847469185,10.1899432882647,0.853478102206034,0.907000463798749,63.342,44,0,5,"Aquia",4,72.7272727272727,2.27272727272727,22.7272727272727,0,2.27272727272727,109,0,0,88
"2",40.2440677966102,7.4908,0.884657199774081,13.6449580502273,0.902777149060787,0.938879224587882,86.688,59,5.7,8,"Castle Hayne",3,83.0508474576271,0,3.38983050847458,0,13.5593220338983,109,32,10,109
"3",63.8715,4.9716,0.91832685093968,13.9821390852512,0.89034552784353,0.93319816715639,55.064,64,0,4,"Clayton",3,43.75,1.5625,54.6875,0,0,109,8,1,97
"4",39.2976923076923,13.603,0.909540239370239,14.7921720025287,0.965797653542518,0.980645118545951,180.466,130,13.4,7,"Cook Mountain",4,75.3846153846154,2.30769230769231,4.61538461538462,0,17.6923076923077,109,1,0,443
"5",35.5840425531915,11.5284,0.800610177292725,5.2356016153179,0.733444535572882,0.834820703759427,54.38,47,1.6,3,"Eugene",2,0,0,97.8723404255319,0,2.12765957446809,129,0,0,63
"6",38.8,36.2386,0.676767241899818,6.52727915519517,0.806177804984905,0.867681183927185,232.016,28,0,7,"Gosport",2,64.2857142857143,0,35.7142857142857,0,0,109,2,0,274
"7",52.2,15.5998,0.883076235152178,10.3474653603343,0.857271904993138,0.914508749291957,149.88,66,0,6,"Hatchetigbee Bluff",2,7.57575757575758,0,92.4242424242424,0,0,101,0,0,267
"8",63.8715,8.2115,0.734108803991318,4.21036185410732,0.484929388682211,0.636277574309239,30.242,60,0,1,"Jagüel",1,0,0,0,0,100,291,0,0,39
"9",63.8159444444444,7.8351,0.916839964106314,14.4525419379445,0.949773957989067,0.969499350238839,96.532,108,1.5,6,"Kincaid",2,70.3703703703704,0,29.6296296296296,0,0,135,0,1,227
"10",42.8333333333333,15.343,0.826867135831287,8.60997470445647,0.883083681510233,0.92581552359088,121.148,39,16.65,6,"La Meseta",3,2.56410256410256,2.56410256410256,94.8717948717949,0,0,803,4,21,116
"11",63.8715,6.2014,0.811606236801184,5.32125688828735,0.656335602475349,0.770814798607961,27.62,34,0,1,"Lefipán",1,0,0,100,0,0,291,0,0,34
"12",42.4882352941176,31.3844,0.861085512586591,8.7433174129611,0.866497683917537,0.920210133787104,262.564,51,5.7,4,"Lisbon",3,13.7254901960784,0,47.0588235294118,0,39.2156862745098,109,2,0,388
"13",39.3488,17.9415,0.851871161663758,9.76147593735619,0.899902772536486,0.939685597082092,161.604,125,5.7,9,"Moodys Branch",3,62.4,0,2.4,0,35.2,109,11,0,318
"14",50.9283333333333,8.9692,0.863176238462635,10.9309537991349,0.89139188488271,0.932810115247007,85.266,30,7.7,4,"Nanjemoy",3,73.3333333333333,0,10,0,16.6666666666667,109,0,1,99
"15",61.4475636363636,9.9207,0.856590754579048,10.362837925319,0.898479234795227,0.938894531123743,90.656,55,3.67149999999999,7,"Porters Creek",3,40,0,41.8181818181818,0,18.1818181818182,109,2,0,141
"16",35.55,7.7797,0.829494880398176,6.38368591340853,0.771667415664728,0.852322428132474,42.97,27,0,2,"San Emigdio",2,0,0,96.2962962962963,0,3.7037037037037,105,0,0,47
"17",40.1277777777778,14.5793,0.860571313556197,10.9907329871648,0.91809363666177,0.950011418039114,147.796,27,8.95,8,"Santee",4,81.4814814814815,0,3.7037037037037,3.7037037037037,11.1111111111111,109,23,9,138
"18",63.7793125,5.8135,0.844312803357303,8.24770609316919,0.786239854033565,0.866203995825052,39.64,32,2.95,4,"Sobral",3,0,3.125,3.125,0,93.75,803,0,0,48
"19",47.684,10.4393,0.862749738052907,9.8891623926637,0.874437565691908,0.92523165382017,92.768,25,5.2,4,"Tallahatta",1,0,0,100,0,0,109,2,0,100
"20",57.25,16.4641,0.793342054529479,8.05937800016039,0.828903798111883,0.896964403984022,123.426,35,0,6,"Tuscahoma",3,25.7142857142857,2.85714285714286,71.4285714285714,0,0,109,0,0,155
"21",62.409,5.9468,0.927709529586766,15.6887557445344,0.935632003125502,0.961724386678407,76.436,40,1.5,3,"Wills Point",3,60,0,30,0,10,101,1,0,111
"22",35.55,3.8185,0.860464575302717,8.83021353642735,0.816167068780531,0.880557430899853,24.636,29,0,2,"Wilson Bluff",2,0,0,24.1379310344828,0,75.8620689655172,801,1,20,6
"23",35.55,9.8216,0.904040750739088,13.4087274703761,0.911624550814804,0.94553384419506,117.75,36,0,6,"Yazoo",3,77.7777777777778,0,16.6666666666667,0,5.55555555555556,135,10,1,158
